bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
60	30	0.95	14	238.5	0.9	31	0	6579.4 (0.86)
60	40	0.95	14	127.5	2.8	16	0	6793.3 (0.88)
80	1	0.96	16	214.5	0.0	20	0	7376.3 (0.72)
80	2	0.96	16	214.5	0.0	20	0	7630.4 (0.75)
80	3	0.96	16	335.0	0.0	32	0	7705.9 (0.75)
80	4	0.96	16	219.5	0.1	21	0	7835.6 (0.77)
80	5	0.96	16	283.5	0.0	27	0	7885.6 (0.77)
80	6	0.96	16	340.0	0.1	33	0	8001.9 (0.78)
80	8	0.96	16	219.5	0.2	21	0	8062.2 (0.79)
80	10	0.96	16	283.5	0.1	27	0	7999.2 (0.78)
80	12	0.96	16	340.0	0.1	33	0	7931.9 (0.77)
80	14	0.96	16	187.5	0.2	18	0	7843.9 (0.77)
80	16	0.96	16	219.5	0.2	21	0	7840.7 (0.77)
80	20	0.96	16	222.5	0.3	21	0	8049.2 (0.79)
80	24	0.96	16	224.5	0.6	21	0	8331.0 (0.81)
80	30	0.96	16	228.5	1.3	22	0	8670.1 (0.85)
80	40	0.96	16	233.5	2.5	22	0	9055.0 (0.88)
100	1	0.96	20	228.5	0.0	17	0	9239.0 (0.72)
100	2	0.96	20	429.5	0.0	33	0	9294.4 (0.73)
100	3	0.96	20	336.0	0.0	26	0	9499.8 (0.74)
100	4	0.96	20	429.5	0.1	33	0	9599.9 (0.75)
100	5	0.96	20	272.0	0.1	21	0	9779.5 (0.76)
100	6	0.96	20	336.0	0.0	26	0	9804.2 (0.77)
100	8	0.96	20	429.5	0.1	33	0	9830.3 (0.77)
100	10	0.96	20	272.0	0.1	21	0	9985.8 (0.78)
100	12	0.96	20	336.0	0.1	26	0	10053.8 (0.79)
100	14	0.96	20	400.0	0.1	31	0	10130.9 (0.79)
100	16	0.96	20	431.0	0.2	33	0	10113.7 (0.79)
100	20	0.96	20	432.5	0.2	33	0	9902.7 (0.77)
100	24	0.96	20	434.5	0.3	33	0	10003.9 (0.78)
100	30	0.96	20	437.0	0.9	34	0	10424.0 (0.81)
100	40	0.96	20	440.5	2.1	34	0	11001.2 (0.86)
